scientific_name,name_correction,generic_species
Branta bernicla nigricans/orientalis,Branta bernicla,
Branta canadensis,,
Branta canadensis moffitti/maxima,Branta canadensis,
Branta canadensis occidentalis/fulva,Branta canadensis,
Branta hutchinsii,,
Branta hutchinsii hutchinsii,,
Branta hutchinsii leucopareia,,
Branta hutchinsii minima,,
Branta hutchinsii/canadensis,Branta hutchinsii,
Branta leucopsis,,
Branta leucopsis x canadensis,Branta leucopsis,
Branta leucopsis x hutchinsii,Branta leucopsis,
Branta sandvicensis,,
Brotogeris chiriri,,
Brotogeris versicolurus,,
Brotogeris versicolurus/chiriri,Brotogeris versicolurus,
Bubo scandiacus,,
Bubo virginianus,,
Bubulcus ibis,,
Bubulcus ibis ibis,,
Bucephala albeola,,
Bucephala albeola x Lophodytes cucullatus,Bucephala albeola,
Bucephala albeola x clangula,Bucephala albeola,
Bucephala clangula,,
Bucephala clangula x Lophodytes cucullatus,Bucephala clangula,
Bucephala clangula x islandica,Bucephala clangula,
Bucephala clangula/islandica,Bucephala clangula,
Bucephala clangula/islandica x Lophodytes cucullatus,Bucephala clangula,
Bucephala islandica,,
Bucephala islandica x Lophodytes cucullatus,Bucephala islandica,
Buteo albonotatus,,
Buteo brachyurus,,
Buteo jamaicensis,,
Buteo jamaicensis abieticola,,
Buteo jamaicensis borealis,,
Buteo jamaicensis calurus/alascensis,Buteo jamaicensis calurus,
Buteo jamaicensis harlani,,
Buteo jamaicensis kriderii,,
Buteo lagopus,,
Buteo lineatus,,
Buteo lineatus [lineatus Group],Buteo lineatus,
Buteo lineatus elegans,,
Buteo lineatus x jamaicensis,Buteo lineatus,
Buteo plagiatus,,
Buteo platypterus,,
Buteo platypterus platypterus,,
Buteo regalis,,
Buteo solitarius,,
Buteo sp.,Buteo jamaicensis,1
Buteo swainsoni,,
Buteo/eagle sp.,Buteo jamaicensis,1
Buteogallus anthracinus,,
Buteogallus urubitinga,,
Butorides virescens,,
Cacatua galerita,,
Cacatua goffiniana,,
Cacatua moluccensis,,
Cairina moschata,,
Cairina moschata (Domestic type),Cairina moschata,
Cairina moschata (Established Feral),Cairina moschata,
Cairina moschata x Anas platyrhynchos,Cairina moschata,
Calamospiza melanocorys,,
Calcarius lapponicus,,
Calcarius ornatus,,
Calcarius pictus,,
Calcarius/Rhynchophanes sp.,Calcarius pictus,
Calidris acuminata,,
Calidris alba,,
Calidris alpina,,
Calidris alpina alpina,,
Calidris bairdii,,
Calidris canutus,,
Calidris ferruginea,,
Calidris fuscicollis,,
Calidris himantopus,,
Calidris maritima,,
Calidris mauri,,
Calidris melanotos,,
Calidris minuta,,
Calidris minutilla,,
Calidris ptilocnemis,,
Calidris pugnax,,
Calidris pusilla,,
Calidris sp.,Calidris minutilla,1
Calidris sp. (peep sp.),,
Calidris subruficollis,,
Calidris virgata,,
Callipepla californica,,
Callipepla californica x gambelii,Callipepla californica,
Callipepla gambelii,,
Callipepla squamata,,
Callipepla squamata x Colinus virginianus,Callipepla squamata,
Callipepla squamata x californica,Callipepla squamata,
Callonetta leucophrys,,
Calocitta colliei,,
Calonectris diomedea,,
Calypte anna,,
Calypte anna x Selasphorus sp.,Calypte anna,
Calypte anna x costae,Calypte anna,
Calypte anna/costae,Calypte anna,
Calypte costae,,
Camptostoma imberbe,,
Campylorhynchus brunneicapillus,,
Caprimulgidae sp.,Campylorhynchus brunneicapillus,1
Caprimulgus sp.,Campylorhynchus brunneicapillus,1
Caracara cheriway,,
Cardellina canadensis,,
Cardellina pusilla,,
Cardinalis cardinalis,,
Cardinalis cardinalis/sinuatus,Cardinalis cardinalis,
Cardinalis sinuatus,,
Carduelis cannabina,,
Carduelis carduelis,,
Carduelis sp.,Carduelis carduelis,1
Cathartes aura,,
Cathartes aura aura/septentrionalis,Cathartes aura,
Cathartidae sp.,Catharus guttatus,1
Catharus fuscescens,,
Catharus guttatus,,
Catharus guttatus [guttatus Group],Catharus guttatus,
Catharus minimus,,
Catharus sp.,Catharus guttatus,1
Catharus ustulatus,,
Catherpes mexicanus,,
Centrocercus minimus,,
Centrocercus urophasianus,,
Cepphus columba,,
Cepphus grylle,,
Cepphus grylle [grylle Group],Cepphus grylle,
Cerorhinca monocerata,,
Certhia americana,,
Certhia americana albescens/alticola,Certhia americana,
Chaetura pelagica,,
Chaetura sp.,Chaetura vauxi,1
Chaetura vauxi,,
Chaetura vauxi vauxi,,
Chamaea fasciata,,
Charadriidae sp.,Charadrius vociferus,1
Charadriiformes sp.,Charadrius vociferus,
Charadrius hiaticula,,
Charadrius melodus,,
Charadrius montanus,,
Charadrius nivosus,,
Charadrius semipalmatus,,
Charadrius sp.,Charadrius vociferus,1
Charadrius vociferus,,
Charadrius wilsonia,,
Chasiempis ibidis,,
Chasiempis sandwichensis,,
Chasiempis sclateri,,
Chen caerulescens,,
Chen caerulescens x Branta canadensis,Chen caerulescens,
Chen caerulescens x Branta hutchinsii,Chen caerulescens,
Chen caerulescens x rossii,Chen caerulescens,
Chen caerulescens/rossii,Chen caerulescens,
Chen canagica,,
Chen rossii,,
Chen rossii x Branta hutchinsii,Chen rossii,
Chlidonias niger,,
Chloroceryle amazona,,
Chloroceryle americana,,
Chlorodrepanis flava,,
Chlorodrepanis stejnegeri,,
Chlorodrepanis virens,,
Chlorodrepanis virens wilsoni,,
Chondestes grammacus,,
Chondrohierax uncinatus,,
Chordeiles acutipennis,,
Chordeiles minor,,
Chordeiles sp.,Chordeiles acutipennis,1
Chroicocephalus philadelphia,,
Chroicocephalus ridibundus,,
Cinclus mexicanus,,
Circus cyaneus,,
Circus cyaneus hudsonius,,
Cistothorus palustris,,
Cistothorus palustris [paludicola Group],Cistothorus palustris,
Cistothorus platensis,,
Cistothorus platensis stellaris,,
Clangula hyemalis,,
Coccothraustes vespertinus,,
Coccyzus americanus,,
Coccyzus minor,,
Coereba flaveola,,
Colaptes auratus,,
Colaptes auratus [cafer Group],Colaptes auratus,
Colaptes auratus auratus/luteus,Colaptes auratus,
Colaptes auratus luteus x cafer,Colaptes auratus,
Colaptes auratus/chrysoides,Colaptes auratus,
Colaptes chrysoides,,
Colinus virginianus,,
Colinus virginianus [virginianus Group],Colinus virginianus,
Columba livia,,
Columba livia (Feral Pigeon),Columba livia,
Columba livia (Wild type),Columba livia,
Columbidae sp.,Columba livia,1
Columbina inca,,
Columbina passerina,,
Columbina talpacoti,,
Contopus caribaeus,,
Contopus cooperi,,
Contopus pertinax,,
Contopus sordidulus,,
Contopus sp.,Contopus pertinax,1
Contopus virens,,
Copsychus malabaricus,,
Coragyps atratus,,
Corvidae sp. (jay sp.),Corvus brachyrhynchos,1
Corvus brachyrhynchos,,
Corvus brachyrhynchos/caurinus,Corvus brachyrhynchos,
Corvus caurinus,,
Corvus corax,,
Corvus cryptoleucus,,
Corvus hawaiiensis,,
Corvus imparatus,,
Corvus ossifragus,,
Corvus sp.,Corvus brachyrhynchos,1
Corvus sp. (crow sp.),Corvus brachyrhynchos,1
Corvus sp. (raven sp.),Corvus brachyrhynchos,1
Coscoroba coscoroba,,
Coturnicops noveboracensis,,
Crotophaga ani,,
Crotophaga ani/sulcirostris,Crotophaga ani,
Crotophaga sulcirostris,,
Cuculidae sp.,Cuculus canorus,1
Cyanocitta cristata,,
Cyanocitta stelleri,,
Cyanocitta stelleri [diademata Group],Cyanocitta stelleri,
Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri,
Cyanocitta stelleri x cristata,Cyanocitta stelleri,
Cyanocompsa parellina,,
Cyanocorax yncas,,
Cygnus atratus,,
Cygnus buccinator,,
Cygnus buccinator x cygnus,Cygnus buccinator,
Cygnus buccinator/columbianus,Cygnus buccinator,
Cygnus columbianus,,
Cygnus columbianus bewickii,,
Cygnus columbianus columbianus,,
Cygnus cygnus,,
Cygnus melancoryphus,,
Cygnus olor,,
Cygnus sp.,Cygnus olor,1
Cynanthus latirostris,,
Cynanthus latirostris [latirostris Group],Cynanthus latirostris,
Cyrtonyx montezumae,,
Dendragapus fuliginosus,,
Dendragapus obscurus,,
Dendragapus obscurus/fuliginosus,Dendragapus obscurus,
Dendrocygna autumnalis,,
Dendrocygna autumnalis autumnalis,,
Dendrocygna bicolor,,
Dendrocygna eytoni,,
Dendrocygna viduata,,
Diomedea sp.,Diomedea exulans,1
Dolichonyx oryzivorus,,
Drepanis coccinea,,
Dryocopus pileatus,,
Dumetella carolinensis,,
Eclectus roratus,,
Egretta caerulea,,
Egretta garzetta,,
Egretta rufescens,,
Egretta thula,,
Egretta tricolor,,
Egretta/Bubulcus sp.,Egretta thula,1
Elanoides forficatus,,
Elanus leucurus,,
Emberiza pusilla,,
Emberiza rustica,,
Emberizidae sp. (sparrow sp.),Emberiza,1
Empidonax difficilis,,
Empidonax difficilis/occidentalis,Empidonax difficilis,
Empidonax flaviventris,,
Empidonax hammondii,,
Empidonax hammondii/oberholseri,Empidonax hammondii,
Empidonax minimus,,
Empidonax oberholseri,,
Empidonax occidentalis,,
Empidonax sp.,Empidonax wrightii,1
Empidonax traillii,,
Empidonax virescens,,
Empidonax wrightii,,
Eremophila alpestris,,
Estrilda astrild,,
Estrilda caerulescens,,
Estrilda melpoda,,
Estrilda troglodytes,,
Estrildidae sp.,,
Eudocimus albus,,
Eudocimus albus x ruber,Eudocimus albus,
Eugenes fulgens,,
Euodice cantans,,
Euodice malabarica,,
Euphagus carolinus,,
Euphagus carolinus/cyanocephalus,Euphagus carolinus,
Euphagus cyanocephalus,,
Euplectes franciscanus,,
Euplectes orix,,
Eupsittula canicularis,,
Eupsittula/Aratinga/Thectocercus/Psittacara sp.,Euplectes orix,1
Euptilotis neoxenus,,
Falcipennis canadensis,,
Falco columbarius,,
Falco columbarius columbarius,,
Falco columbarius pallidus,,
Falco columbarius richardsonii,,
Falco columbarius suckleyi,,
Falco femoralis,,
Falco mexicanus,,
Falco peregrinus,,
Falco peregrinus anatum,,
Falco peregrinus calidus/tundrius,Falco peregrinus,
Falco rusticolus,,
Falco sp.,Falco peregrinus,1
Falco sp. (large falcon sp.),Falco peregrinus,1
Falco sp. (small falcon sp.),Falco peregrinus,1
Falco sparverius,,
Falco sparverius [sparverius Group],Falco sparverius,
Falco sparverius paulus,,
Francolinus francolinus,,
Francolinus pondicerianus,,
Fratercula arctica,,
Fratercula cirrhata,,
Fratercula corniculata,,
Fregata ariel,,
Fregata magnificens,,
Fregata minor,,
Fringilla coelebs,,
Fringilla montifringilla,,
Fringillidae sp.,Fringilla montifringilla,1
Fulica alai,,
Fulica americana,,
Fulica sp.,Fulica americana,1
Fulmarus glacialis,,
Fulmarus glacialis rodgersii,,
Gallinago delicata,,
Gallinago delicata/gallinago,Gallinago delicata,
Gallinago gallinago,,
Gallinago sp.,Gallinago delicata,1
Gallinula galeata,,
Gallinula galeata [galeata Group],Gallinula galeata,
Gallinula galeata sandvicensis,,
Gallus gallus,,
Gallus gallus (Domestic type),Gallus gallus,
Garrulax canorus,,
Gavia adamsii,,
Gavia arctica,,
Gavia immer,,
Gavia pacifica,,
Gavia sp.,Gavia immer,1
Gavia stellata,,
Gelochelidon nilotica,,
Geococcyx californianus,,
Geopelia striata,,
Geothlypis formosa,,
Geothlypis philadelphia,,
Geothlypis poliocephala,,
Geothlypis tolmiei,,
Geothlypis trichas,,
Geothlypis trichas [arizela Group],Geothlypis trichas,
Geothlypis trichas [occidentalis Group],Geothlypis trichas,
Geotrygon chrysia,,
Geranoaetus albicaudatus,,
Glaucidium brasilianum,,
Glaucidium gnoma,,
Glaucidium gnoma pinicola,,
Gracula religiosa,,
Gruidae sp.,Grus canadensis,1
Grus americana,,
Grus canadensis,,
Grus canadensis canadensis,,
Grus canadensis pulla,,
Grus canadensis x grus,Grus canadensis,
Grus grus,,
Gygis alba,,
Gymnogyps californianus,,
Gymnorhinus cyanocephalus,,
Haematopus bachmani,,
Haematopus palliatus,,
Haematopus palliatus x bachmani,Haematopus palliatus,
Haematopus sp.,Haematopus palliatus,1
Haemorhous cassinii,,
Haemorhous mexicanus,,
Haemorhous mexicanus [mexicanus Group],Haemorhous mexicanus,
Haemorhous mexicanus/purpureus,Haemorhous mexicanus,
Haemorhous purpureus,,
Haemorhous purpureus californicus,,
Haemorhous purpureus purpureus,Haemorhous purpureus,
Haemorhous purpureus/cassinii,Haemorhous purpureus,
Haemorhous sp.,Haemorhous mexicanus,1
Haliaeetus leucocephalus,,
Haliaeetus/Aquila sp.,Haliaeetus leucocephalus,1
Helmitheros vermivorum,,
Hemignathus wilsoni,,
Himantopus mexicanus,,
Himantopus mexicanus knudseni,,
Himatione sanguinea,,
Hirundinidae sp.,Hirundo rustica,1
Hirundo rustica,,
Hirundo rustica erythrogaster,,
Histrionicus histrionicus,,
Horornis diphone,,
Hydrobatidae sp.,Hydroprogne caspia,1
Hydrocoloeus minutus,,
Hydroprogne caspia,,
Hydroprogne/Thalasseus sp.,Hydroprogne caspia,1
Hylocichla mustelina,,
Ianthocincla pectoralis,,
Icteria virens,,
Icteria virens auricollis,,
Icteridae sp.,Icterus galbula,1
Icterus bullockii,,
Icterus bullockii x galbula,Icterus bullockii,
Icterus bullockii/galbula,Icterus bullockii,
Icterus cucullatus,,
Icterus galbula,,
